Filename                                              Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
aether-adapters\src\bin\aether-adapter-fixture.rs         265               265     0.00%          20                20     0.00%         154               154     0.00%           0                 0         -
aether-adapters\src\connection.rs                        1603               196    87.77%         120                 8    93.33%        1043               118    88.69%           0                 0         -
aether-adapters\src\framing.rs                            898                29    96.77%          45                 1    97.78%         487                17    96.51%           0                 0         -
aether-adapters\src\lib.rs                                 22                 0   100.00%           3                 0   100.00%          16                 0   100.00%           0                 0         -
aether-adapters\src\process.rs                            341               102    70.09%          52                19    63.46%         244                61    75.00%           0                 0         -
aether-adapters\src\protocol.rs                           267                 5    98.13%          26                 1    96.15%         205                 3    98.54%           0                 0         -
aether-adapters\src\supervisor\admission.rs               154                16    89.61%          19                 3    84.21%         119                11    90.76%           0                 0         -
aether-adapters\src\supervisor\backoff.rs                 200                10    95.00%          17                 2    88.24%         122                 7    94.26%           0                 0         -
aether-adapters\src\supervisor\clock.rs                    64                 6    90.62%          10                 2    80.00%          42                 6    85.71%           0                 0         -
aether-adapters\src\supervisor\heartbeat.rs               109                 3    97.25%          14                 1    92.86%          88                 3    96.59%           0                 0         -
aether-adapters\src\supervisor\ledger.rs                  574                69    87.98%          49                11    77.55%         414                60    85.51%           0                 0         -
aether-adapters\src\supervisor\resources.rs               178                 6    96.63%          15                 1    93.33%         110                 4    96.36%           0                 0         -
aether-adapters\src\supervisor\runtime.rs                1131               215    80.99%          90                13    85.56%         776               153    80.28%           0                 0         -
aether-adapters\src\supervisor\state.rs                   431                17    96.06%          30                 3    90.00%         267                13    95.13%           0                 0         -
aether-adapters\src\supervisor\termination.rs             421                24    94.30%          47                 4    91.49%         299                19    93.65%           0                 0         -
aether-control\src\delta.rs                               129                 2    98.45%          11                 0   100.00%          89                 1    98.88%           0                 0         -
aether-control\src\error.rs                               252                36    85.71%          20                 2    90.00%         251                17    93.23%           0                 0         -
aether-control\src\journal.rs                             105                26    75.24%          13                 5    61.54%          91                25    72.53%           0                 0         -
aether-control\src\lib.rs                                   9                 0   100.00%           2                 0   100.00%           7                 0   100.00%           0                 0         -
aether-control\src\normalizer.rs                          301                 3    99.00%          14                 1    92.86%         222                 2    99.10%           0                 0         -
aether-control\src\pipeline.rs                           1107                88    92.05%          76                 5    93.42%         785                65    91.72%           0                 0         -
aether-control\src\sequencer.rs                            70                 3    95.71%          10                 1    90.00%          42                 3    92.86%           0                 0         -
aether-control\src\source.rs                               35                 6    82.86%           7                 2    71.43%          36                 8    77.78%           0                 0         -
aether-control\src\storage_state.rs                       262                 9    96.56%          30                 2    93.33%         198                 5    97.47%           0                 0         -
aether-control\src\time.rs                                  9                 1    88.89%           1                 0   100.00%           5                 1    80.00%           0                 0         -
aether-control\src\ulid.rs                                155                 1    99.35%           9                 0   100.00%          70                 1    98.57%           0                 0         -
aether-core\src\domain.rs                                  71                 0   100.00%          10                 0   100.00%          67                 0   100.00%           0                 0         -
aether-core\src\error.rs                                   41                 0   100.00%           6                 0   100.00%          39                 0   100.00%           0                 0         -
aether-core\src\event.rs                                  389                14    96.40%          20                 0   100.00%         199                 0   100.00%           0                 0         -
aether-core\src\ids.rs                                     30                 0   100.00%           5                 0   100.00%          24                 0   100.00%           0                 0         -
aether-core\src\lib.rs                                     27                 0   100.00%           5                 0   100.00%          17                 0   100.00%           0                 0         -
aether-security\src\encrypted_file.rs                     392                87    77.81%          31                12    61.29%         262                50    80.92%           0                 0         -
aether-security\src\error.rs                                4                 1    75.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
aether-security\src\keyring_store.rs                       55                14    74.55%           9                 3    66.67%          40                 7    82.50%           0                 0         -
aether-security\src\lib.rs                                  4                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
aether-security\src\manager.rs                            523                52    90.06%          55                 5    90.91%         334                42    87.43%           0                 0         -
aether-security\src\redact.rs                             290                11    96.21%          22                 1    95.45%         148                 7    95.27%           0                 0         -
aether-security\src\reference.rs                          165                 4    97.58%          15                 1    93.33%         111                 3    97.30%           0                 0         -
aether-security\src\store.rs                              267                24    91.01%          26                 3    88.46%         154                14    90.91%           0                 0         -
aether-store\src\error.rs                                 285                 2    99.30%          15                 0   100.00%         271                 1    99.63%           0                 0         -
aether-store\src\lib.rs                                     4                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
aether-store\src\migration.rs                             163                15    90.80%          11                 0   100.00%         109                 6    94.50%           0                 0         -
aether-store\src\pragma.rs                                150                21    86.00%          12                 0   100.00%          51                 0   100.00%           0                 0         -
aether-store\src\store.rs                                 358                64    82.12%          29                 6    79.31%         240                45    81.25%           0                 0         -
aether-store\src\write_queue.rs                           879                95    89.19%          59                13    77.97%         624                67    89.26%           0                 0         -
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                   13189              1542    88.31%        1083               151    86.06%        8881               999    88.75%           0                 0         -
